date_time,time_days,mo1,mo2,mo3,mo4,mo6,mo7,su_b0,su_b1,su_b2,su_b3,su_b4,su_c0,su_c1,su_c2,su_c3,su_c4,su_d0,su_d1,su_d2,su_d3,su_d4,su_e0,su_e1,su_e2,su_e3,su_e4,su_f0,su_f1,su_f2,su_f3,su_f4,su_g0,su_g1,su_g2,su_g3,su_g4,su_h0,su_h1,su_h2,su_h3,su_h4,temp_a,temp_b,temp_c,temp_d,temp_e,temp_f,temp_g,temp_h
2020-10-07 13:00:00,17.916666666666668,398.2110723698878,399.0000516102126,334.7127926826189,417.52648894886465,341.83072434239244,348.06867842327466,3.785447315603517,7.603500579893546,9.521209337289,6.101802724971421,4.089371850309712,2.4696416019925804,4.186837350930101,4.391192170253025,2.9691303926742125,2.437577354250507,6.46015831993732,12.972054730640656,14.922269165595502,10.478532615856345,7.594404881778087,1.9394829371635478,3.3268027824508044,2.140265543460111,1.5595343488157078,1.2293595276290614,6.216891613776079,12.804382129904766,-7.16580489983326,10.919952187146938,7.972404280999587,5.868965975802582,11.821263374619981,14.181561164491008,10.476522724848527,7.892900871189036,5.546953625812579,11.664849467754962,14.331112487108959,10.40579171920972,7.552296173822119,22.85483355653841,23.207658411911293,23.09885855982819,23.43062056190411,22.998553949367942,23.548339944148267,23.45257305023498,23.501617927262973
2020-10-07 13:30:00,17.9375,398.2304933481479,399.03990331788987,334.7237544809108,417.6199210561281,342.0688369120059,348.1916406558392,3.785880560291278,7.597432462023792,9.513798339552007,6.096350523027535,4.085678389629649,2.4698923852006094,4.1869935927042246,4.390930598095104,2.9689461406394435,2.437475735878245,6.45884028966347,12.969343208379742,14.921510068240556,10.476886674383692,7.593229185276805,1.9383388885830912,3.326230660830769,2.1286386384261915,1.5552553777522267,1.2266914037277301,6.217660185147806,12.805182337353125,-7.232424330331364,10.920807928850545,7.973199471317469,5.869861970803814,11.822004333654903,14.182235418132942,10.477089775775728,7.893522126882292,5.547806719022067,11.665863338694564,14.33224255687091,10.406373517511884,7.553151318873099,22.832478052765506,23.187066393655538,23.070424108154217,23.411306996637737,22.977456041728974,23.528538553186017,23.432508008785085,23.481858801158314
2020-10-07 14:00:00,17.958333333333332,398.24981979745,399.08017917121765,334.7343054516361,417.71574734219274,342.2993130909087,348.3081937463501,3.7864871127223667,7.592723318584231,9.507708968721582,6.091842792708027,4.082621284957849,2.470177300159454,4.18717825635526,4.390691130813224,2.968771500574291,2.4373813910785613,6.457587286764596,12.966740322246347,14.92074236307234,10.47531489247632,7.5920984227610795,1.937218312801985,3.3256830036761085,2.1171188924266913,1.551019308951745,1.2240538558515244,6.218443417213153,12.805982943114586,-7.299080218665276,10.921646975754426,7.9739889675143925,5.870812415176116,11.82277835858274,14.182956897481908,10.477697910969825,7.894183622656252,5.548677352503035,11.666878064459164,14.333357907756346,10.406936036703213,7.553974216079512,22.80988126567817,23.165954453602495,23.042105528531238,23.39137159802447,22.955776964767217,23.50814383868758,23.411729381525756,23.461392019466192
2020-10-07 14:30:00,17.979166666666668,398.26906086433075,399.12075731296727,334.74437066074705,417.8136919775075,342.52194757587563,348.4184839716551,3.7872679820700275,7.589439980575498,9.503017331961042,6.088336593878738,4.080237782212285,2.4704962304304106,4.187389457819053,4.390476494400261,2.9686081634851313,2.437295039182197,6.456411976771043,12.964266270237932,14.919965994092525,10.473828400723526,7.591022999035217,1.9361214174890993,3.325159869819304,2.105708924922606,1.5468271459971203,1.221447510323227,6.219244255499499,12.806785617962317,-7.365772242325866,10.922467791507096,7.974770794069165,5.871812343075456,11.823585840598914,14.183723914388882,10.478345386050762,7.894885001608119,5.549566402630962,11.667889281790218,14.334452582369178,10.407477530271764,7.5547611277438635,22.787084970316755,23.14435150925429,23.013989984514716,23.370828086056594,22.933551753864275,23.487170796652943,23.390249690894752,23.44022629129054
2020-10-07 15:00:00,18.0,398.2882167026688,399.161527897456,334.7538922927499,417.91337319101575,342.73657707928174,348.52270574808443,3.7882228476754576,7.587634512102883,9.499785674099543,6.085878642616153,4.078559887575924,2.4708479577201277,4.187625417772966,4.390288656028254,2.9684567663661867,2.437217494631,6.455328567645614,12.961942447687356,14.919180905302786,10.472439221102196,7.59001469715237,1.935048410313304,3.3246613180928377,2.094411355374932,1.5426798924712104,1.2188729934656208,6.220064610885958,12.807592551673412,-7.432500078803995,10.923269517644533,7.975541737886483,5.872857132258936,11.824427075276828,14.184535044071596,10.479029082111726,7.89562539306954,5.550475532673021,11.668893481198578,14.335520143061666,10.407997465716242,7.55550890873104,22.76413991932416,23.122300732294104,22.986181176768252,23.34970534303911,22.910832993519055,23.46564750475236,23.368098065347663,23.418385117073736
2020-10-07 15:30:00,18.020833333333332,398.30729210960897,399.20238799107705,334.76282403216146,418.0143816909016,342.94306583306354,348.6210666246538,3.78935058445013,7.587353661118308,9.498071222059178,6.084511763826126,4.077617200759392,2.4712309212745844,4.187884385639665,4.390129417541492,2.9683176257706165,2.437149602228073,6.45435137244968,12.959790652637006,14.918387040704793,10.471159670176457,7.589085289615294,1.9339994989434701,3.3241874073291924,2.0832288032446673,1.5385785519568733,1.216330931601489,6.220906065242701,12.808406080920028,-7.499263405590538,10.924051491150024,7.976298579465624,5.873942250430555,11.825302316574016,14.185388930613403,10.479745897627065,7.896403758248712,5.551406185137762,11.669886951280022,14.336553924853376,10.408495226083629,7.556214519827336,22.74109995735673,23.09984998663138,22.958787072867796,23.32803720667781,22.887678530908346,23.443606365068504,23.345309045559063,23.39589729732854
2020-10-07 16:00:00,18.041666666666668,398.3263264000236,399.2432662879145,334.77117441340613,418.1162274649348,343.1414085077494,348.71381454800485,3.79064633351086,7.588624150900047,9.497912242307663,6.084263763703202,4.077429133004032,2.471642387508488,4.188164699754111,4.390000191067511,2.968189978725695,2.437092312758319,6.453494127417432,12.957834138812004,14.917584344300222,10.470003117287979,7.588245414307932,1.9329748910484676,3.3237381963608494,2.0721638879928066,1.5345241280369664,1.2138219510536143,6.221769055066023,12.809229009375853,-7.56606190017636,10.924813680210294,7.977039023995007,5.875063431176975,11.826211646152508,14.186284421433099,10.480493903283762,7.897218461447501,5.552357881908543,11.670864119677942,14.33754628882881,10.40896874950987,7.556875088733255,22.71803027351897,23.077063861372633,22.931928068767338,23.30587509343145,22.864163756735874,23.421095236730853,23.321936335724896,23.372811542897
2020-10-07 16:30:00,18.0625,398.3453710713776,399.2841024189065,334.77897097736474,418.2183897605435,343.3316481882225,348.80121090382727,3.7921037181374597,7.591464496928539,9.49933922977201,6.085156361993912,4.078010966660059,2.472079131493287,4.188464719014247,4.389902216675702,2.9680727123432966,2.4370466056290705,6.452770337950852,12.95609666955546,14.916772880479533,10.468983275306378,7.587505252094663,1.9319747942971668,3.323313744020291,2.061219229080347,1.5305176242943477,1.2113466781447795,6.222653636881183,12.810064327226396,-7.6328952400523224,10.925556306273153,7.977761148969764,5.876216512076571,11.827155072762089,14.187220443357138,10.481271627878671,7.898067622257624,5.553329363093782,11.671818670880272,14.338489212413805,10.409415401330088,7.557487823074253,22.695000646730215,23.054013715428287,22.90572951563324,23.283277533337532,22.8403711656883,23.398168233589175,23.29804140008369,23.34918461186825
2020-10-07 17:00:00,18.083333333333332,398.36446789968187,399.32482259683053,334.78621878115456,418.320325577754,343.51383873432206,348.88348933960253,3.7937134159716277,7.5958760681338,9.502366445096923,6.0871998067934525,4.079370203164484,2.472536711866725,4.188782561123406,4.389836154567393,2.9679656389962927,2.437013254908413,6.45219312743302,12.95460151537816,14.915955119228345,10.468113000378892,7.586874173008716,1.9309994163584379,3.3229141091399987,2.0503974459682848,1.526560044311875,1.2089057391977678,6.223560674834792,12.81091532653112,-7.699763102709303,10.926280022181633,7.978463689615509,5.877397458677807,11.828132411841684,14.188196018666895,10.482078157113962,7.898948848204676,5.554317833307734,11.672743087930936,14.339374149639323,10.409831698199813,7.558050303380026,22.6720893690122,23.030783518751974,22.880324629536318,23.26031627677717,22.816396539400888,23.37489108879432,23.27370021811089,23.325088039375327
2020-10-07 17:30:00,18.104166666666668,398.3836496475964,399.36534068162814,334.7929021912604,418.4214712949247,343.68804395817574,348.9608578654474,3.795463385694749,7.601844382426238,9.50699313733226,6.090393738187978,4.081507147513615,2.473009563275598,4.189116117167203,4.389802129457179,2.9678694234091263,2.436992841260393,6.451775262167782,12.95337148629895,14.915135750068805,10.467404355768824,7.586360798428687,1.9300489649011512,3.3225393505524554,2.0397011581176163,1.522652391672406,1.206499760535362,6.22449177647948,12.811785577523356,-7.766665165638171,10.926985879379462,7.979145988971369,5.878602349795595,11.829143295169262,14.189210253581122,10.482913086998492,7.899859272635303,5.55531908175786,11.673628747445976,14.340192074855052,10.410213372424296,7.55856045426093,22.649382595952975,23.007468892751135,22.855853877372283,23.237075288710923,22.792347931776565,23.351340275032804,23.249002185825635,23.300607014745523
