Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,097047,2018,04,11,1.0,1,N
IDCJAC0009,097047,2018,04,12,1.0,1,N
IDCJAC0009,097047,2018,04,13,10.6,1,N
IDCJAC0009,097047,2018,04,14,19.0,1,N
IDCJAC0009,097047,2018,04,15,29.6,1,N
IDCJAC0009,097047,2018,04,16,19.0,1,N
IDCJAC0009,097047,2018,04,17,3.2,1,N
IDCJAC0009,097047,2018,04,18,1.0,1,N
IDCJAC0009,097047,2018,04,19,0.0,,N
IDCJAC0009,097047,2018,04,20,0.0,,N
IDCJAC0009,097047,2018,04,21,0.0,,N
IDCJAC0009,097047,2018,04,22,0.0,,N
IDCJAC0009,097047,2018,04,23,0.0,,N
IDCJAC0009,097047,2018,04,24,0.0,,N
IDCJAC0009,097047,2018,04,25,3.0,1,N
IDCJAC0009,097047,2018,04,26,8.2,1,N
IDCJAC0009,097047,2018,04,27,1.4,1,N
IDCJAC0009,097047,2018,04,28,1.8,1,N
IDCJAC0009,097047,2018,04,29,2.8,1,N
IDCJAC0009,097047,2018,04,30,0.0,,N
IDCJAC0009,097047,2018,05,01,0.0,,N
IDCJAC0009,097047,2018,05,02,0.0,,N
IDCJAC0009,097047,2018,05,03,0.2,1,N
IDCJAC0009,097047,2018,05,04,18.2,1,N
IDCJAC0009,097047,2018,05,05,17.4,1,N
IDCJAC0009,097047,2018,05,06,10.0,1,N
IDCJAC0009,097047,2018,05,07,4.0,1,N
IDCJAC0009,097047,2018,05,08,7.2,1,N
IDCJAC0009,097047,2018,05,09,1.8,1,N
IDCJAC0009,097047,2018,05,10,12.6,1,N
IDCJAC0009,097047,2018,05,11,2.4,1,N
IDCJAC0009,097047,2018,05,12,0.2,1,N
IDCJAC0009,097047,2018,05,13,2.2,1,N
IDCJAC0009,097047,2018,05,14,0.4,1,N
IDCJAC0009,097047,2018,05,15,4.0,1,N
IDCJAC0009,097047,2018,05,16,6.2,1,N
IDCJAC0009,097047,2018,05,17,14.2,1,N
IDCJAC0009,097047,2018,05,18,21.0,1,N
IDCJAC0009,097047,2018,05,19,8.4,1,N
IDCJAC0009,097047,2018,05,20,12.0,1,N
IDCJAC0009,097047,2018,05,21,12.4,1,N
IDCJAC0009,097047,2018,05,22,7.2,1,N
IDCJAC0009,097047,2018,05,23,4.8,1,N
IDCJAC0009,097047,2018,05,24,0.4,1,N
IDCJAC0009,097047,2018,05,25,0.4,1,N
IDCJAC0009,097047,2018,05,26,0.0,,N
IDCJAC0009,097047,2018,05,27,0.4,1,N
IDCJAC0009,097047,2018,05,28,0.0,,N
IDCJAC0009,097047,2018,05,29,14.0,1,N
IDCJAC0009,097047,2018,05,30,0.0,,N
IDCJAC0009,097047,2018,05,31,15.0,1,N
IDCJAC0009,097047,2018,06,01,0.4,1,N
IDCJAC0009,097047,2018,06,02,0.2,1,N
IDCJAC0009,097047,2018,06,03,0.0,,N
IDCJAC0009,097047,2018,06,04,1.4,1,N
IDCJAC0009,097047,2018,06,05,2.0,1,N
IDCJAC0009,097047,2018,06,06,0.0,,N
IDCJAC0009,097047,2018,06,07,0.0,,N
IDCJAC0009,097047,2018,06,08,17.8,1,N
IDCJAC0009,097047,2018,06,09,11.2,1,N
IDCJAC0009,097047,2018,06,10,0.4,1,N
IDCJAC0009,097047,2018,06,11,0.0,,N
IDCJAC0009,097047,2018,06,12,3.0,1,N
IDCJAC0009,097047,2018,06,13,17.6,1,N
IDCJAC0009,097047,2018,06,14,19.0,1,N
IDCJAC0009,097047,2018,06,15,24.4,1,N
IDCJAC0009,097047,2018,06,16,27.2,1,N
IDCJAC0009,097047,2018,06,17,28.0,1,N
IDCJAC0009,097047,2018,06,18,0.4,1,N
IDCJAC0009,097047,2018,06,19,0.4,1,N
IDCJAC0009,097047,2018,06,20,0.0,,N
IDCJAC0009,097047,2018,06,21,5.0,1,N
IDCJAC0009,097047,2018,06,22,2.0,1,N
IDCJAC0009,097047,2018,06,23,16.2,1,N
IDCJAC0009,097047,2018,06,24,6.8,1,N
IDCJAC0009,097047,2018,06,25,9.6,1,N
IDCJAC0009,097047,2018,06,26,7.0,1,N
IDCJAC0009,097047,2018,06,27,0.4,1,N
IDCJAC0009,097047,2018,06,28,0.2,1,N
IDCJAC0009,097047,2018,06,29,1.6,1,N
IDCJAC0009,097047,2018,06,30,1.8,1,N
IDCJAC0009,097047,2018,07,01,15.2,1,N
IDCJAC0009,097047,2018,07,02,10.0,1,N
IDCJAC0009,097047,2018,07,03,0.2,1,N
IDCJAC0009,097047,2018,07,04,0.2,1,N
IDCJAC0009,097047,2018,07,05,17.8,1,N
IDCJAC0009,097047,2018,07,06,16.0,1,N
IDCJAC0009,097047,2018,07,07,23.0,1,N
IDCJAC0009,097047,2018,07,08,18.0,1,N
IDCJAC0009,097047,2018,07,09,11.0,1,N
IDCJAC0009,097047,2018,07,10,2.2,1,N
IDCJAC0009,097047,2018,07,11,2.0,1,N
IDCJAC0009,097047,2018,07,12,0.2,1,N
IDCJAC0009,097047,2018,07,13,0.2,1,N
IDCJAC0009,097047,2018,07,14,2.6,1,N
IDCJAC0009,097047,2018,07,15,7.0,1,N
IDCJAC0009,097047,2018,07,16,4.4,1,N
IDCJAC0009,097047,2018,07,17,16.8,1,N
IDCJAC0009,097047,2018,07,18,14.8,1,N
IDCJAC0009,097047,2018,07,19,53.6,1,N
IDCJAC0009,097047,2018,07,20,11.0,1,N
IDCJAC0009,097047,2018,07,21,17.6,1,N
IDCJAC0009,097047,2018,07,22,0.8,1,N
IDCJAC0009,097047,2018,07,23,3.4,1,N
IDCJAC0009,097047,2018,07,24,23.2,1,N
IDCJAC0009,097047,2018,07,25,24.0,1,N
IDCJAC0009,097047,2018,07,26,7.4,1,N
IDCJAC0009,097047,2018,07,27,4.0,1,N
IDCJAC0009,097047,2018,07,28,10.4,1,N
IDCJAC0009,097047,2018,07,29,13.6,1,N
IDCJAC0009,097047,2018,07,30,25.6,1,N
IDCJAC0009,097047,2018,07,31,13.8,1,N
IDCJAC0009,097047,2018,08,01,14.6,1,N
IDCJAC0009,097047,2018,08,02,1.2,1,N
IDCJAC0009,097047,2018,08,03,0.2,1,N
IDCJAC0009,097047,2018,08,04,8.4,1,N
IDCJAC0009,097047,2018,08,05,9.0,1,N
